Product Name,Product Amount,Product Cost($),Total Cost($),Running Total($),Product Link
1N4148 Diodes (100 Pack),1,4.39,4.39,$4.65,https://www.amazon.com/100pcs-High-Speed-Switching-DO-204AH-Package/dp/B081JKJM6N/ref=sr_1_10?crid=35KF5EVKL396L&dib=eyJ2IjoiMSJ9.09kb66VxlBzN6HV_K6vi9bX8LtVFcCNUgS7AvhG8bf6FKxpnIivj_Z4cD5uV-gtOQY30IkD-smF4RbPi4a026c1LJT1vQJT-U1etpy7CJSXSXrzb7ETMWONQw6_e9_E5JYaUEPRPhJlfEnpBSSgKH-CXlxKgmgA4D0ePPv6Zj6inlkrKTXQoJlbU63DkdPB19u4qFydXQ5jjR6O6QULfUg0LQpeSlFNpVTjW9FVrbfk.RiPzZgDJyII1hwJFsIxynSbPqHf7ernYd-jVazmIXmk&dib_tag=se&keywords=1n4148+diode&qid=1771718638&sprefix=%2Caps%2C65&sr=8-10
Gateron Jade Series Brown Switch set (90 Pack),1,19.59,19.59,$25.42,"Gateron G Pro 3.0 Blue Switches for Mechanical Keyboard,3-Pin 60gf Clicky/Pre-Lubed/Pin-Enhanced Switches(90pcs,Blue): Amazon.com: Industrial & Scientific"
Pro Micro RP2040,1,11.96,11.96,$38.10,https://www.aliexpress.us/item/3256807101545498.html?spm=a2g0o.productlist.main.7.300f7f8e7AFS0V&algo_pvid=bcdfbc18-2875-4b52-abfd-4add421c30cf&algo_exp_id=bcdfbc18-2875-4b52-abfd-4add421c30cf-6&pdp_ext_f=%7B%22order%22%3A%22100%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.96%213.83%21%21%2181.92%2126.21%21%402101dedf17718757325876627ee35d%2112000040075577189%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A355689ec%3Bm03_new_user%3A-29895&curPageLogUid=RK6kaHcGH9yr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007287860250%7C_p_origin_prod%3A
EC11 Rotary Encoders (5 Pack),1,1.86,1.86,$40.07,https://www.aliexpress.us/item/3256808479535031.html?pdp_npi=4%40dis%21USD%213.72%211.86%21%21%21%21%21%40%2112000046153664308%21ppc%21%21%21&utm_source=chatgpt.com&gatewayAdapt=glo2usa
Durock Stabilizers V2 TKL Kit,1,11.99,11.99,$52.78,https://www.amazon.com/GATERON-Crystal-Stabilizer-Mechanical-Keyboard/dp/B0BZYK3X1S/ref=sr_1_12_sspa?adgrpid=192220645651&dib=eyJ2IjoiMSJ9.m7YlyAfyx4lsATsnu2MHFdurFYyuM46cCx-mWyeU4mSJQCECHSrO8URlUmiCAIutQFC3FVDqik_5ZUBnilGUGAC5buuHgKQScl0QYuyIYeuxHoev5RkMDG6d9CgqlYb1-ATxAfMReK-Tfw2NAuNfc4Xo2caz_gkGOsNHC-sc96W9qC1MqlY92t_vOQ4u4l8xsg0rRz9K3GIlk_crkizU5BAtslbnurXFLI3EPxvn3FY.BJYIi6APL6Q0M0T8-qq8jTkKfmNshM0Ea69AMoNTwDo&dib_tag=se&hvadid=779509414287&hvdev=c&hvexpln=0&hvlocphy=9007578&hvnetw=g&hvocijid=4156021340026242763--&hvqmt=e&hvrand=4156021340026242763&hvtargid=kwd-914974056135&hydadcr=950_1014953073_2340559&keywords=stabilizers+for+keyboard&mcid=136dba5af6773dbe91ca016ecb69268b&qid=1771809535&sr=8-12-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1
84-Key Keycap Set,1,17.99,17.99,$71.85,"Amazon.com: Womier Keycaps, Lusterfly Jelly Keycaps White 60 75 100 Percent, Crystal Shine Through Custom Key caps Set, 118 Keys OEM Profile for 61/68/84/87/98/100 Cherry Gateron MX Mechanical (Backlit White) : Electronics"
Keyboard PCB (QTY 5),1,15.54,15.54,$88.32,https://cart.jlcpcb.com/quote?spm=jlcpcb.Public.2006
USB-C Cable,1,8.95,8.95,$97.27,https://www.amazon.com/Keyboard-Double-Sleeved-Mechanical-Detachable-Aviator/dp/B09F5YBH6Z
,,,,,
,,,Total($),92.27,
,,,Running Total($),97.27,
